LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002797,Islington 018B,32.1180 ,3,0.2070 ,2,0.1290 ,3,19.2390 ,5,0.5900 ,3,1.0150 ,2,27.1510 ,3,32.2360 ,3
E01002798,Islington 018C,21.4790 ,5,0.1450 ,4,0.0940 ,5,5.7250 ,9,0.2350 ,4,0.6280 ,3,22.1110 ,5,32.0490 ,3
E01002799,Islington 018D,32.2820 ,3,0.2410 ,2,0.1300 ,3,14.1990 ,6,0.6060 ,3,0.2910 ,4,28.5650 ,3,41.0530 ,2
E01002800,Islington 018E,38.9340 ,2,0.2310 ,2,0.1490 ,3,40.7650 ,2,0.3840 ,4,0.8000 ,2,33.1350 ,2,44.8490 ,1
E01002801,Islington 020C,16.8520 ,6,0.0950 ,6,0.0610 ,7,1.3830 ,10,-0.6370 ,8,0.6530 ,3,21.8240 ,5,48.4960 ,1
E01002802,Islington 020D,25.9030 ,4,0.1420 ,4,0.1100 ,4,5.6430 ,9,0.4720 ,3,0.8560 ,2,22.1830 ,5,44.4420 ,1
E01002803,Islington 020E,23.7610 ,4,0.1520 ,4,0.0840 ,5,12.2260 ,7,-0.0680 ,6,0.7080 ,2,26.0540 ,4,43.5860 ,1
E01002804,Islington 001D,37.3760 ,2,0.2550 ,2,0.1980 ,1,22.7540 ,4,0.6290 ,3,0.5380 ,3,29.1280 ,3,23.7300 ,4
E01002805,Islington 003B,22.8280 ,4,0.1360 ,4,0.0810 ,5,9.3980 ,7,0.1730 ,5,1.0920 ,1,27.9900 ,3,27.2940 ,4
E01002806,Islington 003C,26.9520 ,3,0.1770 ,3,0.1210 ,3,4.5610 ,9,0.4600 ,3,1.0890 ,1,23.0710 ,4,29.8390 ,3
E01002807,Islington 001E,31.5730 ,3,0.2330 ,2,0.1430 ,3,15.4670 ,6,0.5820 ,3,0.4780 ,3,30.4130 ,3,26.2880 ,4
E01002808,Islington 003D,24.6420 ,4,0.1760 ,3,0.1120 ,4,8.4410 ,8,0.1820 ,5,0.5790 ,3,26.1480 ,4,30.9960 ,3
E01002809,Islington 003E,31.4440 ,3,0.2160 ,2,0.1560 ,2,8.6730 ,8,0.4100 ,4,0.7130 ,2,30.9320 ,2,30.7430 ,3
E01002810,Islington 003F,33.3210 ,2,0.2210 ,2,0.1610 ,2,12.7160 ,6,0.7240 ,3,0.8030 ,2,28.3760 ,3,28.1340 ,4
E01002811,Islington 001F,38.6060 ,2,0.2610 ,2,0.1860 ,2,9.0790 ,7,0.8760 ,2,1.0860 ,1,26.5000 ,3,32.5020 ,3
E01002812,Kensington and Chelsea 013A,11.5480 ,7,0.0230 ,10,0.0150 ,10,2.2220 ,10,-2.1320 ,10,-0.4900 ,8,40.7480 ,1,44.3130 ,1
E01002813,Kensington and Chelsea 011A,10.0930 ,8,0.0380 ,9,0.0210 ,10,0.7910 ,10,-2.1780 ,10,0.2680 ,4,27.3760 ,3,42.3210 ,2
E01002814,Kensington and Chelsea 015A,25.0280 ,4,0.1580 ,3,0.1090 ,4,3.0430 ,10,-0.8820 ,9,0.2890 ,4,45.4890 ,1,37.4240 ,2
E01002815,Kensington and Chelsea 011B,18.2890 ,5,0.0860 ,6,0.0550 ,8,1.6570 ,10,-1.1120 ,10,0.1180 ,5,43.4420 ,1,46.8850 ,1
E01002816,Kensington and Chelsea 011C,11.5280 ,7,0.0220 ,10,0.0220 ,10,0.3400 ,10,-2.3290 ,10,0.0420 ,5,36.5380 ,2,46.2180 ,1
