,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,area,NO2,NOx,PM25,PM10
1649,E01001684,Greenwich 017C,E02000329,Greenwich 017,E09000011,Greenwich,1.17679034039,24.638532265782317,35.17833075362645,10.235817318592584,15.212654162800796
1650,E01001685,Greenwich 017D,E02000329,Greenwich 017,E09000011,Greenwich,0.175789165579,24.872787566002014,36.20363406833623,10.329078306193814,15.325905621186337
1651,E01001686,Greenwich 020E,E02000332,Greenwich 020,E09000011,Greenwich,0.172640341045,25.754462520003596,38.01869975270091,10.414325271730934,15.663634931568778
1652,E01001687,Greenwich 002A,E02000314,Greenwich 002,E09000011,Greenwich,0.413888333999,28.219353567428442,45.99025428639671,10.75257458438763,17.027164677893726
1653,E01001688,Greenwich 002B,E02000314,Greenwich 002,E09000011,Greenwich,0.354196846692,24.856679639612462,36.71652465408377,10.189143395397071,15.469907672654656
1654,E01001690,Greenwich 001A,E02000313,Greenwich 001,E09000011,Greenwich,0.134354484241,25.15569720110736,37.90796271888343,10.23823723205933,15.664819276368654
1655,E01001692,Greenwich 001B,E02000313,Greenwich 001,E09000011,Greenwich,0.0764820012994,24.312325294981612,35.09467910198455,10.114628198299002,15.214692009256241
1656,E01001693,Greenwich 001C,E02000313,Greenwich 001,E09000011,Greenwich,0.137614999443,26.393421140210382,41.48562158387283,10.397615778035131,16.156141146846203
1657,E01001694,Greenwich 001D,E02000313,Greenwich 001,E09000011,Greenwich,0.383123433194,25.722628200638407,39.01433850030829,10.278395251014558,15.725495361312214
1658,E01001695,Greenwich 011A,E02000323,Greenwich 011,E09000011,Greenwich,0.0996343171609,26.97138922770504,41.440820203939445,10.520202795036225,16.195661495796777
1659,E01001696,Greenwich 011B,E02000323,Greenwich 011,E09000011,Greenwich,0.14034685478,29.89176491595784,50.65948534412544,10.878311694169245,17.445918053805997
1660,E01001697,Greenwich 011C,E02000323,Greenwich 011,E09000011,Greenwich,0.153241035407,27.124086425417946,41.72006163016829,10.580300994651028,16.24595491974442
1661,E01001698,Greenwich 015A,E02000327,Greenwich 015,E09000011,Greenwich,0.12773185014,26.333421497883094,39.551500780829066,10.511437173921113,15.936357118492964
1662,E01001699,Greenwich 015B,E02000327,Greenwich 015,E09000011,Greenwich,0.684726576335,27.859366681685856,43.69145650322991,10.674038494629585,16.692015763822877
1663,E01001700,Greenwich 011D,E02000323,Greenwich 011,E09000011,Greenwich,0.138271882662,27.54540724010137,43.306699344877565,10.623557363631408,16.315569348417956
1664,E01001701,Greenwich 015C,E02000327,Greenwich 015,E09000011,Greenwich,0.951794576692,27.492326659482785,42.82359230743832,10.642022978713303,16.489143241699526
1665,E01001702,Greenwich 015D,E02000327,Greenwich 015,E09000011,Greenwich,0.0881960418096,26.73166389116958,40.607874691758525,10.582657853217974,16.15997759936607
1666,E01001703,Greenwich 011E,E02000323,Greenwich 011,E09000011,Greenwich,0.0887189631138,26.406672076402206,39.945722640369816,10.497505490057069,15.88801910003386
1667,E01001704,Greenwich 011F,E02000323,Greenwich 011,E09000011,Greenwich,0.141530437448,26.54954351581865,40.498382363035724,10.536556351961563,15.970665480529957
