LSOA Code,population,old,median_age,male,male_pop,old_pop
E01000461,1602.00 ,419.00 ,43.50 ,778.00 ,0.49 ,0.26 
E01000462,1875.00 ,496.00 ,37.10 ,833.00 ,0.44 ,0.26 
E01000463,1236.00 ,277.00 ,42.10 ,629.00 ,0.51 ,0.22 
E01000464,1635.00 ,266.00 ,36.80 ,812.00 ,0.50 ,0.16 
E01000465,1785.00 ,300.00 ,36.30 ,935.00 ,0.52 ,0.17 
E01000466,1926.00 ,258.00 ,33.00 ,956.00 ,0.50 ,0.13 
E01000467,1986.00 ,317.00 ,36.60 ,921.00 ,0.46 ,0.16 
E01000468,3134.00 ,204.00 ,31.10 ,1538.00 ,0.49 ,0.07 
E01000469,1905.00 ,284.00 ,36.70 ,938.00 ,0.49 ,0.15 
E01000470,1356.00 ,173.00 ,32.10 ,629.00 ,0.46 ,0.13 
E01000471,1571.00 ,290.00 ,39.00 ,823.00 ,0.52 ,0.18 
E01000472,1902.00 ,208.00 ,34.30 ,1006.00 ,0.53 ,0.11 
E01000473,2345.00 ,402.00 ,35.80 ,1205.00 ,0.51 ,0.17 
E01000474,2178.00 ,363.00 ,35.80 ,1137.00 ,0.52 ,0.17 
E01000475,2035.00 ,345.00 ,36.80 ,1050.00 ,0.52 ,0.17 
E01000476,1728.00 ,359.00 ,38.90 ,882.00 ,0.51 ,0.21 
E01000477,2269.00 ,299.00 ,33.70 ,1215.00 ,0.54 ,0.13 
E01000478,2116.00 ,374.00 ,35.10 ,1063.00 ,0.50 ,0.18 
E01000479,1637.00 ,412.00 ,41.20 ,822.00 ,0.50 ,0.25 
E01000480,1732.00 ,377.00 ,38.10 ,893.00 ,0.52 ,0.22 
E01000481,1560.00 ,271.00 ,35.40 ,779.00 ,0.50 ,0.17 
E01000482,2954.00 ,493.00 ,35.40 ,1483.00 ,0.50 ,0.17 
E01000483,1820.00 ,279.00 ,35.00 ,928.00 ,0.51 ,0.15 
E01000484,1540.00 ,262.00 ,35.10 ,747.00 ,0.49 ,0.17 
E01000485,1389.00 ,314.00 ,39.40 ,734.00 ,0.53 ,0.23 
E01000486,1651.00 ,372.00 ,37.40 ,881.00 ,0.53 ,0.23 
E01000487,2035.00 ,402.00 ,35.30 ,1040.00 ,0.51 ,0.20 
E01000488,1613.00 ,263.00 ,34.50 ,822.00 ,0.51 ,0.16 
E01000489,1518.00 ,398.00 ,39.50 ,730.00 ,0.48 ,0.26 
E01000490,1821.00 ,208.00 ,35.10 ,863.00 ,0.47 ,0.11 
E01000491,1928.00 ,325.00 ,36.20 ,964.00 ,0.50 ,0.17 
E01000492,1293.00 ,307.00 ,42.30 ,637.00 ,0.49 ,0.24 
E01000493,1545.00 ,359.00 ,39.20 ,737.00 ,0.48 ,0.23 
E01000494,1778.00 ,352.00 ,36.90 ,885.00 ,0.50 ,0.20 
E01000495,1624.00 ,326.00 ,36.70 ,867.00 ,0.53 ,0.20 
E01000497,1672.00 ,331.00 ,38.00 ,836.00 ,0.50 ,0.20 
E01000498,1588.00 ,292.00 ,35.40 ,810.00 ,0.51 ,0.18 
E01000499,1935.00 ,259.00 ,31.70 ,951.00 ,0.49 ,0.13 
E01000501,1863.00 ,327.00 ,34.50 ,891.00 ,0.48 ,0.18 
E01000502,1759.00 ,310.00 ,34.60 ,845.00 ,0.48 ,0.18 
E01000503,2003.00 ,396.00 ,37.50 ,1044.00 ,0.52 ,0.20 
E01000504,1798.00 ,323.00 ,35.30 ,901.00 ,0.50 ,0.18 
E01000505,1712.00 ,314.00 ,34.30 ,899.00 ,0.53 ,0.18 
E01000506,1925.00 ,232.00 ,33.20 ,1020.00 ,0.53 ,0.12 
E01000507,1685.00 ,347.00 ,36.90 ,885.00 ,0.53 ,0.21 
E01000508,2296.00 ,398.00 ,34.90 ,1151.00 ,0.50 ,0.17 
E01000509,1471.00 ,297.00 ,36.50 ,788.00 ,0.54 ,0.20 
E01000510,1785.00 ,284.00 ,33.70 ,947.00 ,0.53 ,0.16 
E01000511,1586.00 ,272.00 ,35.60 ,795.00 ,0.50 ,0.17 
E01000512,1833.00 ,294.00 ,35.80 ,971.00 ,0.53 ,0.16 
E01000513,1582.00 ,339.00 ,38.20 ,800.00 ,0.51 ,0.21 
E01000514,1489.00 ,250.00 ,36.00 ,797.00 ,0.54 ,0.17 
E01000515,1961.00 ,284.00 ,34.00 ,978.00 ,0.50 ,0.14 
E01000516,1894.00 ,344.00 ,35.60 ,970.00 ,0.51 ,0.18 
E01000517,1442.00 ,350.00 ,39.30 ,740.00 ,0.51 ,0.24 
E01000518,1590.00 ,329.00 ,38.20 ,813.00 ,0.51 ,0.21 
E01000519,1927.00 ,323.00 ,36.40 ,966.00 ,0.50 ,0.17 
E01000520,1792.00 ,391.00 ,37.50 ,903.00 ,0.50 ,0.22 
E01000521,2317.00 ,356.00 ,36.90 ,1182.00 ,0.51 ,0.15 
E01000522,2027.00 ,281.00 ,34.20 ,989.00 ,0.49 ,0.14 
E01000523,2711.00 ,351.00 ,35.40 ,1405.00 ,0.52 ,0.13 
E01000524,2739.00 ,347.00 ,33.40 ,1448.00 ,0.53 ,0.13 
E01000525,2053.00 ,292.00 ,36.50 ,1020.00 ,0.50 ,0.14 
E01000526,2438.00 ,418.00 ,33.50 ,1180.00 ,0.48 ,0.17 
E01000527,2195.00 ,337.00 ,34.10 ,1082.00 ,0.49 ,0.15 
E01000528,1595.00 ,248.00 ,34.90 ,820.00 ,0.51 ,0.16 
E01000530,1712.00 ,361.00 ,40.60 ,822.00 ,0.48 ,0.21 
E01000531,1974.00 ,314.00 ,35.90 ,984.00 ,0.50 ,0.16 
E01000532,1534.00 ,272.00 ,39.40 ,803.00 ,0.52 ,0.18 
E01000533,2271.00 ,319.00 ,35.70 ,1237.00 ,0.54 ,0.14 
E01000534,1606.00 ,281.00 ,39.00 ,762.00 ,0.47 ,0.17 
E01000535,2134.00 ,257.00 ,35.50 ,1076.00 ,0.50 ,0.12 
E01000536,1594.00 ,459.00 ,42.10 ,816.00 ,0.51 ,0.29 
E01000538,1512.00 ,453.00 ,41.50 ,773.00 ,0.51 ,0.30 
E01000539,1580.00 ,490.00 ,42.20 ,785.00 ,0.50 ,0.31 
E01000540,1401.00 ,448.00 ,42.30 ,682.00 ,0.49 ,0.32 
E01000541,1367.00 ,321.00 ,37.40 ,696.00 ,0.51 ,0.23 
E01000543,1497.00 ,334.00 ,38.40 ,777.00 ,0.52 ,0.22 
E01000544,1681.00 ,239.00 ,34.20 ,843.00 ,0.50 ,0.14 
E01000545,1886.00 ,284.00 ,36.50 ,956.00 ,0.51 ,0.15 
E01000546,1691.00 ,312.00 ,37.10 ,826.00 ,0.49 ,0.18 
E01000547,1651.00 ,218.00 ,34.60 ,795.00 ,0.48 ,0.13 
E01000548,2184.00 ,278.00 ,34.00 ,1179.00 ,0.54 ,0.13 
E01000549,1835.00 ,299.00 ,36.70 ,888.00 ,0.48 ,0.16 
E01000550,1929.00 ,339.00 ,35.10 ,928.00 ,0.48 ,0.18 
E01000551,2600.00 ,368.00 ,34.10 ,1340.00 ,0.52 ,0.14 
E01000552,1550.00 ,200.00 ,31.50 ,747.00 ,0.48 ,0.13 
E01000553,2185.00 ,335.00 ,35.00 ,1152.00 ,0.53 ,0.15 
